Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_it
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat,carni
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat extracts,estratti di carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,sausages,Salsicce
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,charcuterie,charcuterie
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,ham,prosciutto
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, frozen, dried and cooked fruits and vegetables","Frutta e ortaggi conservati, congelati, secchi e cotti"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, dried and cooked fruits and vegetables","frutta e verdura conservate, secche e cotte"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carni, pesce, pollame e selvaggina"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carni, pesce, pollame e selvaggina"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meats and processed foods,carni e alimenti trasformati
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk,latte
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk products,prodotti lattiero-caseari
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,yoghurt,yogurt
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk shakes,frullati di latte
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,cheese,formaggio
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,butter,burro
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,margarine,margarina
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,dairy products,prodotti lattiero-caseari
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jellies,Gelatine
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jams,marmellate
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit-based snack food,snack a base di frutta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit salads,macedonie di frutta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit chips,patatine da frutto
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit jellies,gelatine di frutta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,vegetable salads,insalate di verdure
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, frozen, dried and cooked fruits and vegetables","Frutta e ortaggi conservati, congelati, secchi e cotti"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, dried and cooked fruits and vegetables","frutta e verdura conservate, secche e cotte"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,compotes,composti
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils,Oli commestibili
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils and fats,Oli e grassi alimentari
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible fats,Grassi commestibili
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,butter,burro
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,margarine,margarina
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,soups,zuppe
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,potato chips,Patatine fritte
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,pickles,sottaceti
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,tofu,tofu
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,peanut butter,Burro di arachidi
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"nuts, prepared","frutta a guscio, preparata"
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,"milk beverages, milk predominating","bevande a base di latte, latte predominante"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,fish,pesce
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"jellies, jams, compotes","Gelatine, marmellate, composte"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit sauces,Salse di frutta
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee,caffè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea,tè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",iced tea,tè freddo
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee-based beverages,bevande a base di caffè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea-based beverages,bevande a base di tè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",cocoa,cacao
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",artificial coffee,caffè artificiale
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,rice,riso
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour and preparations made from cereals,farine e preparazioni a base di cereali
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,bread,pane
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,pasta,pasta
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,noodles,tagliatelle
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,tapioca,tapioca
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,sago,Grano saraceno
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour,farina
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,chocolate,cioccolato
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,confectionery,Prodotti dolciari
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cakes,torte
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,biscuits,Biscotti
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cookies,cookies
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,ice cream,gelato
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,candy,caramelle
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pastries,Pasticceria
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pies,torte
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,puddings,budini
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,edible ices,Ghiaccio commestibile
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,vinegar,aceto
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,sauces (condiments),salse (condimenti)
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,salt,sale
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,mustard,senape
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,honey,tesoro
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,treacle,treacolo
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,seasonings,Condimento
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,"vinegar, sauces (condiments)","aceto, salse (condimenti)"
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,condiments,condimenti
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,yeast,lievito
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,baking-powder,polvere da forno
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,sugar,zucchero
